feature,rho,pval,abs_rho,subgroup
q_vader_neg,0.15216244440678334,1.0035020178867068e-22,0.15216244440678334,Non-substantive
q_vader_neu,-0.1513692386549051,1.6737224428643012e-22,0.1513692386549051,Non-substantive
q_poly_feature_politeness_==Please==,0.12552696282108206,6.533910318858477e-16,0.12552696282108206,Non-substantive
q_vader_pos,0.10650202245735216,7.55026438442165e-12,0.10650202245735216,Non-substantive
q_poly_feature_politeness_==1st_person_pl.==,0.10274014476317987,4.010831751780847e-11,0.10274014476317987,Non-substantive
q_poly_feature_politeness_==Factuality==,-0.08917610655409332,1.0157179628694003e-08,0.08917610655409332,Non-substantive
q_poly_feature_politeness_==Gratitude==,-0.07936833923909561,3.469454245254295e-07,0.07936833923909561,Non-substantive
q_poly_feature_politeness_==SUBJUNCTIVE==,0.0760327772900141,1.0545463009011281e-06,0.0760327772900141,Non-substantive
q_poly_feature_politeness_==Direct_start==,-0.06882727695276793,9.98777922682383e-06,0.06882727695276793,Non-substantive
q_poly_feature_politeness_==Please_start==,0.06554760029998824,2.593813108114668e-05,0.06554760029998824,Non-substantive
q_poly_feature_politeness_==INDICATIVE==,0.05378509543884209,0.0005597323854152927,0.05378509543884209,Non-substantive
q_has_url,0.04789017376079223,0.002127862291026266,0.04789017376079223,Non-substantive
